title,lang,source_name,format,category,cefr_level,license,text
437_SPM04043.txt,en,icle500,document-level,learner,B2,CC0 1.0 (Public Domain),"I can only say that this statement is completely true. I agree with this so much that I could not avoid choosing this topic. I am at a working with computers or other kinds of ""modern technology"". Well, maybe it is just that I am not really interested in learning much about it. Technology is the future and I recognize this. I know that, in the end, I will have to learn just like everyone else .
Technology has gone so far that the question is: Where does the man end and where does the machine start?. I do not want to be pessimistic, but progress is transforming us into machines. Nowadays, we do not think for ourselves. Everything is already done for us. It used to be that it was our brains that did the work. People used their imagination trying to explain misteries without visible solutions. Now, it seems like people have become tired of doing so much work in a day with only 24 hours. One of the principal roots of the problem is time. People felt that they did not have enough time so they invented computers to help them out. However, despite the additional help of the computers, people feel as pressed for time as ever. It seems that we spend so much time trying to get the computer to do what we tell it to that it would be easier if we just did the work ourselves. It is a long time since there has been no room for dreaming and imagination in society, and, in 1996, still less .
Can we imagine a world without computers or without advanced technology?. Could people survive?. Personally, I think that I could. Just imagine for a minute that we have gone back to the 17th century. It is the century in which the first novels were published. People dreamt about them and they imagined fantastic vorlds where they were the heroes and the heroines of stories of wonder. They knew nothing about computers and I am sure that they were as happy as we are. I am not saying that industrialization is necessarily a bad thing. On the contrary!. The question is finding the balance between the time we spend dreaming, and say the time we spend enjoying some computer game .
Another subject that I think is important is the relationship between children and technology. When I was a child, I used to read short stories or watching cartoons. I was happy. Nowadays, children depend on television more than my generation did. They do not watc wholesome shows like Sesame Street anymore; instead, they watch shows based on violence like Power Rangers. They do not have time for dreaming because they are always in front of the television or playing with the Game Boy. Maybe this is their way of dreaming but everything that comes to their eyes is violence. The computer games are about fighting or race cars... Children like these games because they are the most entertaining. Does technology and progress promote competition between children?. Maybe it does but I think it would be a sad way to encourage competition. If the younger generations do not know anything about dreaming, how can we blame them?. They have not been taught by their parents but my machines. I believe that with the passage of the time, we will be dominated more and more by the very machines we thought would be of help .
To conclude I have to say that when I hear the words ""dreaming"" and ""imagination"", I think of books, of films, of all those fantastic realities that still survive. Of course there is still a place for these things in our everyday life. What we have to do is to be careful not to let computers gain ground ."
B1 2018 IV_003-118 (71e05322-78b2-4d30-b29b-fd59314ff9ad).txt,et,elle,document-level,learner,B1,CC BY 4.0,"Tööpaeviti kui ma tulen tööle, ma loen kõigepealt uudiseid. 
Mõnikord ma loen ""Äripäeva"" ajalehest, mõnikord ""Molodjož Estonii"" ajalehest.
Aga väga tihti ma otsin infot ja loen uudiseid internetist, see on mugav ja kiire.
internetis ma otsin infot ja uudiseid ""Delfi.ee"", kus on värske info.
Muidugi, õhtul ma vaatan tavaliselt telerit ja kuulan raadiot. 
Mulle meeldib programm ""TV+"", selles programmis ka iga päev värske info ja erinevad ettendused.
Ma vaatan ka õhtuti eesti keelne programm ""Eesti uudiseid"", sest ma ei räägi eesti keeles vabalt, see on väga kasulik minu jaoks.
Tööl ma saan uudiseid ja infot, kui meie ettevõtes toimuvad ""infopäevad"". 
Sealt ma saan info, kuidas läheb töö ja plaanid, kuidas me töötame edasi. 
Aga mulle jaoks väga meeldivad teatri ja muusika teemad, sellest ma armastan käi teatrisse ja vaatan ettendusi. 
Selle info ma võtan teatri programmist."
116_FIJY1005.txt,en,icle500,document-level,learner,B2,CC0 1.0 (Public Domain),"It's really incredible if you think about the history of television. Fifty years ago it wasn't so common to have a television at home. Back then the radio was the only entertaining electronical apparatus you could find in a ordinary home. Since then the evolution has really made great progress. Nowadays you find at least one television in every house. There are coming more and more channels to choose between and some televisoncompanies broadcast twentyfour hours aday. There are different channels for news, sport and films. It would be interesting to know how many channels we have or what the televison looks like fifty years from now. The satellites have had a big part in the electronical evolution .
When I was younger I used to wonder what people did in the evenings before the television was invented. Did they listen to the radio all night or what did they do ? I guess they spent much more time talking to eachother and doing things together. In a way I really envy them because nowadays the television takes up too much of our time. I totally agree with the statement that television has become the opium of the masses. But there are also many benefits with the television. You can for instance be transfered to other parts of the world just by stearing at the ""box"". Live broadcasts gives us direct information about all kinds of things. Besides giving us a continous flow of information the television also has many other functions in the modern society. It's for instance very relaxing after a long day at work or in school to turn on the TV and watch a film or some other program that interests you .
There has been a great deal of discussion about what you can or can't show in the television. Violence and sex are usually the main subjects in theese kinds of discussions. What worries us most is what effect theese kind of programs have on the children. I think we'll get the answers to the questions in the following decade, because more and more violence is shown on the television today. Children are also spending more and more of their time in front of the television. This is what worries me most. This could have serious effects on our childrens health. Much is really up to the parents, they must not let their children look at the TV all the time even if it's the easiest way to get ""rid"" of them .
I think that the benefits of the television are many more than the drawbacks if it is used in a intelligent way. I couldn't even think about living without television. First thing in the morning I turn on the television to watch the news and every night I watch at least a couple of hours. Not so much here as at home though, because at home I have fourteen channels to choose between and here there are only three That's quite a difference but it's good because now I have the time to do my homework as well. The television is also good company if you live by yourself in a oneroom appartment. I have learned most of my english by watching Eurosport and MTV. If you don't forget to spend time with your friends and have other interests as well I don't think that television can have any bad effects on you. But in the future it could be like a drug because the directors and producers are getting more and more skilful and they know how to capture the audience. A good example of this is the bold and the beatiful. Especially in Finland there are lots of people who can't do anything else when the program is on. They can't speak with their friends on the phone and they can't plan anything else on that time. The bold and the beautiful has become a drug for a big part of the finish population. Immagine if there would be more than one program like this every evening. It makes me shiver just when I think about it ."
0802.txt,cs,merlin-cs,paragraph-level,learner,A2,CC BY-SA 4.0,"29.01.08
Ahoj Alena,
jak se máš? Dlouho jsi nenapsala. Já se mám docela dobře. Studuju elektrotechnika v Drážďanech. Už pracuji na diplomce a neplánuji dovolenou. Mám moc práce a nemám moc čas. Píšu tě teprve dnes. Těším se na tě návštěvu. Kdy přijízdeš? Sejdeme se raději na nádraží. Potom budeme jít domů. Co říkáš? Potom chceš jít do města. 
Kolik stojí kurs česky na universitě. Kdy je kurs. Můžeš poslat inzerát? 
Tím končím, je už pozdě večer. Musim ráno brzo vstát. Moc ráda bych se s tebou setkala. 
 Pozdravuj všechny.  Zatím ahoj. 
 
Srdečně tě zdravím 
 Dana"
VE_1_30_74.3R.txt,pt,cople2,paragraph-level,learner,A1,CC BY-SA-NC 4.0,"Durante estes últimos anos o ambiente está a morrer. As cidades cheias de poluição, rios onde os peixes morrem em vez de nadar. Forestas cortadas para tornar-se em campos cultivos. Os mares são também cheios de poluição e não se pode tomar banho por causa dos escombros descarregados pelas cidades.
Então rezamos reciclar todo tipo de lixo, como plástico, vidro, papel e todo tipo de objectos perigosos para o ambiente.
Reciclar papel quer dizer que as forestas do mundo continuam com vida sem ficar cortadas porque as forestas são o pulmão da nossa humanidade."
1395_0000338.txt,it,merlin-it,paragraph-level,learner,A2,CC BY-SA 4.0,"Giovedi 4 Marzo
Caro Paulo,
Fa molto tempo che non ho di tue noticies. Come state tu e tua familia? Adesso, vado bene anche i miei genitori e mia sorella. Purtroppo, oggi sono disoccupata dopo avere lavorare nelle negozio a Città X. Ma adesso ho tempo libero e con Sergio siamo partiti in vacanza al Portugalo. Fa bel tempo ma troppo caldo! Era buene anzi fantastiche!
Quando se incontrati? Vieni al compleano di Patrizia? Espero ti vedere al compleano! 
A presto Eva"
1023_0107725.txt,de,merlin-de,paragraph-level,learner,B1,CC BY-SA 4.0,"Maria Winkelmann
Müllergasse 12
12345 Stadt X
Aupairsglobal
65187 Wiesbaden
                                          Stadt X, den 19.04.11
Au-pair Vermittlung
Sehr geehrte Damen und Herren,
mit grosse Interesse habe ich Ihre Anzeige im Zeitug gelesen. Nun möchte ich nähere Information über die Stelle in Deutschland zu bekommen. Erklären Sie mir bitte: welche aufgaben gehören zum helfen im Haushalt? Werden diese Aufgaben im Vertrag erläutert? Welche Rechte und welche Pflichen festelegt? Ich spräche schlecht Deutsch, wird die Familie mit Englischkentnissen für mich ausgesucht? Werde ich eine Deutsche Schule oder ein Gumnasium besuchen? Und noch eine frage - soll ich die Freizeitaktivitäten mit die Familie und die Kindern gemeinsam führen, oder darf ich auch allein etwas unternemmen?
Im voraus vielen Dank für Ihre Informationen.
Mit freundlichen Grußen
Maria Winkelmann
19.04.11"
180_GRAR3012.txt,en,icle500,document-level,learner,B2,CC0 1.0 (Public Domain),"Nowadays the position women have in the society is considered to be equal with the position of men. However, some years before women did not have such a position, they were regarded as inferior to men and not clever enough to work and study in universities. Their role was that of mother, wife and housekeeper. Nothing more, nothing less .
	The huge changes in the position of women was achieved through the act of feminist. As a result, I strongly disagree with the statement that: ""feminists have done more harm to the cause of women than good"". If the feministic movement would not have arised then the women would still be treated like animals in circus. We used to live in a patriarchal society were men's dominance was taken for granted. Women in those societies were not considered as human beings but only important for the extension of the human species. On the one hand men were allowed to work, to study to universities, go out and come whenever they like and not obliged to help with the house-work. On the other hand women were not allowed to study at universities, or work, they were not permitted to go out and they were forced to bring up children, cook, wash and make all the housework . 
	In addition, in our modern society women do not pocess the role they used to. They are allowed to do whatever they want, they can go to universities, decide whether marry or not and finally they are considered to be clever enough to compete with a man. But even though those changes have accured we cannot admit that we do not still live in a somewhat patriarchal society. We can admit that women are in a better position than they were in past times but when nowadays a woman is married and also working, she is obliged by the unspoken rule to do on her own the housework and to raise the children without her husband's help .
	This fact leads to the exhaustion of the woman. She has to work, to be there for her children and to take care of the house. As a result she has no time for herself. So, if we consider carefully nowadays circumstances, we will understand that not so many things have changed. Something that I should add so as not to exaggerate is that not all women face such treatment. Some men nowadays respect the role of women and the equality of the two sexes. This minority of men give hope for the future. If gradually all men and women as well start to realize the importance of both genrs and the equality of them then there will be no need for feministic discussion .
	To sum up, the feministic movement helped a great deal with the improvement of the position of women. Feminists cannot do much if we, people, especially men do not understand the basic idea of feminism and realize that no person, either man or woman, is superior of inferior to anyone else ."
1365_0100474.txt,it,merlin-it,paragraph-level,learner,B1,CC BY-SA 4.0,"14.1.2012 
                                                  Città X, -symbol- 
Caro Francesco, 
come stai? Io sto bene. 
Adesso lavoro come l'insegnante in una scuola linguistica  a Città Y e mi piace questo lavoro molto. C'è fantastico che tu hai superato con il massimo dei voti, so che tu  sai intelligente. A Città Y ho trovato i novi amici. Devi sapere che Città Y è una città molto bellissimo con una culturella molto interessante. Penso che sia una bella idea di  venire a Città Y. Naturalmente  ti auito  di trovare un lavoro. A mio avviso non sia  facile perché ci sono molte  studente a Città Y che lavorano durante loro studiare .  Per questa ragione i  dintorni non cercano persone. Ma  conosco qualcuno che offerto un bar e c'è una possibilità per te. 
 La mia situazione professionale  a Città Y è fantastica, amo i bambini e dare a gli i lezioni volentieri.
Non ho paura l'esame non era molto difficile. Ho l'esame di très mesi e sono molto d'accordo con la mia vita. Penso che  lavori per questo lavoro è assolutmante d'accordo. 
Tanti saluti Maria"
PHA0510004A.txt,cs,merlin-cs,paragraph-level,learner,A2,CC BY-SA 4.0,"Vážené dámy a panové, potřebujeme jednou dvelůzkovy pokoj se snídaně u vás. A bezpecní parkoviště je důlezité pro náse Auto. Můzete se opakovat hned. Kolik to stoji za noc? Jsme z lyžařskou školy, proto obyčejné zařízení v pokoj jsou v pořátku, ale pokoj musí byt s koupelnou. Děkujeme za opeď pozdem, s přatelskym pozdravem."
