Model,Config,IID QWK,IID F1,IID MAE,IID R²,OOD QWK,OOD F1,OOD MAE,OOD R²
XGB-surface,—,0.446 (—),0.347 (—),0.605 (—),0.293 (—),0.336 (—),0.257 (—),0.753 (—),-0.090 (—)
Qwen3-Embedding-0.6B,MLP_linear_regression,0.698 (0.603),0.497 (0.404),0.483 (0.589),0.524 (0.252),0.435 (0.380),0.281 (0.255),0.859 (0.884),-0.500 (-0.531)
Qwen3-Embedding-0.6B,MLP_logistic_regression,0.704 (0.650),0.584 (0.534),0.358 (0.418),0.432 (0.305),0.391 (0.377),0.264 (0.260),0.830 (0.816),-0.644 (-0.580)
Qwen3-Embedding-0.6B,linear_regression,0.682 (0.624),0.474 (0.435),0.510 (0.523),0.477 (0.449),0.451 (0.401),0.292 (0.260),0.771 (0.832),-0.163 (-0.374)
Qwen3-Embedding-0.6B,logistic_regression,0.660 (0.626),0.549 (0.509),0.406 (0.440),0.362 (0.290),0.407 (0.363),0.290 (0.254),0.800 (0.837),-0.578 (-0.677)
Qwen3-Embedding-0.6B,ordinal_cumlink,0.677 (0.629),0.487 (0.447),0.431 (0.466),0.419 (0.321),0.450 (0.398),0.291 (0.255),0.739 (0.822),-0.236 (-0.559)
Qwen3-Embedding-0.6B,MEAN,0.684 (0.626),0.518 (0.466),0.438 (0.487),0.443 (0.324),0.427 (0.384),0.284 (0.257),0.800 (0.838),-0.424 (-0.544)
Qwen3-Embedding-4B,MLP_linear_regression,0.720 (0.675),0.537 (0.481),0.462 (0.492),0.511 (0.491),0.464 (0.395),0.297 (0.257),0.793 (0.882),-0.241 (-0.669)
Qwen3-Embedding-4B,MLP_logistic_regression,0.734 (0.674),0.593 (0.552),0.344 (0.383),0.477 (0.388),0.468 (0.396),0.268 (0.263),0.808 (0.787),-0.717 (-0.592)
Qwen3-Embedding-4B,linear_regression,0.672 (0.630),0.437 (0.428),0.514 (0.539),0.437 (0.363),0.404 (0.323),0.249 (0.219),0.816 (1.040),-0.290 (-1.484)
Qwen3-Embedding-4B,logistic_regression,0.703 (0.659),0.549 (0.524),0.364 (0.401),0.423 (0.354),0.497 (0.381),0.296 (0.252),0.726 (0.788),-0.290 (-0.508)
Qwen3-Embedding-4B,ordinal_cumlink,0.696 (0.665),0.455 (0.456),0.430 (0.441),0.390 (0.353),0.426 (0.365),0.282 (0.235),0.761 (0.946),-0.337 (-1.290)
Qwen3-Embedding-4B,MEAN,0.705 (0.661),0.514 (0.488),0.423 (0.451),0.447 (0.390),0.452 (0.372),0.278 (0.245),0.781 (0.889),-0.375 (-0.909)
Qwen3-Embedding-8B,MLP_linear_regression,0.726 (0.658),0.503 (0.466),0.448 (0.517),0.533 (0.405),0.512 (0.396),0.323 (0.262),0.699 (0.906),0.088 (-0.869)
Qwen3-Embedding-8B,MLP_logistic_regression,0.740 (0.694),0.602 (0.566),0.329 (0.381),0.505 (0.394),0.473 (0.406),0.311 (0.275),0.728 (0.757),-0.319 (-0.392)
Qwen3-Embedding-8B,linear_regression,0.677 (0.531),0.467 (0.359),0.501 (0.681),0.456 (-0.132),0.377 (0.248),0.253 (0.194),0.898 (1.192),-0.634 (-2.194)
Qwen3-Embedding-8B,logistic_regression,0.728 (0.683),0.569 (0.554),0.346 (0.383),0.468 (0.397),0.447 (0.372),0.306 (0.257),0.748 (0.776),-0.324 (-0.426)
Qwen3-Embedding-8B,ordinal_cumlink,0.692 (0.647),0.468 (0.437),0.424 (0.471),0.362 (0.244),0.458 (0.340),0.283 (0.227),0.735 (0.949),-0.271 (-1.086)
Qwen3-Embedding-8B,MEAN,0.712 (0.643),0.522 (0.476),0.410 (0.487),0.465 (0.262),0.453 (0.352),0.295 (0.243),0.762 (0.916),-0.292 (-0.993)
e5-mistral-7b-instruct,MLP_linear_regression,0.629 (0.579),0.443 (0.425),0.512 (0.596),0.340 (-0.016),0.404 (0.328),0.278 (0.256),0.843 (0.966),-0.377 (-1.297)
e5-mistral-7b-instruct,MLP_logistic_regression,0.635 (0.582),0.527 (0.463),0.417 (0.471),0.291 (0.173),0.399 (0.332),0.264 (0.256),0.821 (0.852),-0.588 (-0.685)
e5-mistral-7b-instruct,linear_regression,0.624 (0.459),0.434 (0.342),0.534 (0.713),0.390 (-0.275),0.418 (0.285),0.273 (0.232),0.789 (0.952),-0.177 (-0.941)
e5-mistral-7b-instruct,logistic_regression,0.633 (0.534),0.466 (0.442),0.428 (0.488),0.285 (0.176),0.408 (0.316),0.295 (0.249),0.799 (0.820),-0.542 (-0.549)
e5-mistral-7b-instruct,ordinal_cumlink,0.605 (0.509),0.407 (0.371),0.499 (0.569),0.206 (0.013),0.440 (0.325),0.289 (0.247),0.736 (0.826),-0.224 (-0.615)
e5-mistral-7b-instruct,MEAN,0.625 (0.533),0.455 (0.408),0.478 (0.567),0.303 (0.014),0.414 (0.317),0.280 (0.248),0.798 (0.883),-0.382 (-0.817)
